wavelength,permittivity,n
206.67,5.84,2.416609195
210.1,5.93,2.435159132
217.51,6.05,2.459674775
223.14,6.07,2.463736999
228.45,5.94,2.437211521
234.45,5.76,2.4
239.34,5.51,2.347338919
244.43,5.27,2.295648057
250.81,5.09,2.256102835
257.8,4.92,2.218107301
266.32,4.81,2.19317122
275.19,4.68,2.163330765
284.93,4.6,2.144761059
295.03,4.51,2.123676058
305.95,4.46,2.111871208
318.93,4.38,2.092844954
333.96,4.33,2.080865205
351.47,4.23,2.05669638
363.1,4.21,2.051828453
377.36,4.17,2.042057786
392.16,4.15,2.037154879
408.84,4.12,2.029778313
430.71,4.07,2.0174241
454.38,4.06,2.014944168
481.55,4.01,2.002498439
520.13,4,2
570.64,3.94,1.984943324
628.8,3.93,1.98242276
710.19,3.88,1.96977156
813.65,3.87,1.967231557